Name,X,Y,Angle,Value,Package
+BTN,0.00,-56.00,0.00,807-22-001-10-001101,CONN_807-22-001-10-001101_MIM
-BTN,0.00,-35.00,0.00,807-22-001-10-001101,CONN_807-22-001-10-001101_MIM
0.1UCAP[3/3],0.00,-78.34,180.00,CL31B104KBCNNNC,CAPC3216X100N
POWERBTN,0.00,0.00,0.00,807-22-001-10-001101,CONN_807-22-001-10-001101_MIM
VEML7700,0.93,-83.25,0.00,VEML7700-TR,XDCR_VEML7700-TR
