Reference,Part,Quantity,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number,Source URL,Notes
J1,"Micro-Lock Plus right-angle PCB header - 2 position",1,Molex,2200980271,DigiKey,900-2200980271-ND,https://www.digikey.com/en/products/detail/molex/2200980271/22111645,"Ideally, epoxy the connector to the PCB before soldering."
MP1,"M3 solderable SMD standoff - 2.5 mm",1,Würth Elektronik,78614025360,DigiKey,732-78614025360CT-ND,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/78614025360/15792300,
