Qty,Value,Device,Package,Parts,Description,DATASHEET,MANUFACTURER,MPN
1,2200980271,220098-0271,2200980271,J1,1.25WB MLP SGL RA TH ASSY 2CKT B,https://www.molex.com/en-us/products/part-detail-pdf/2200980271?display=pdf,Molex,2200980271
1,78614025360,WE-SMSA_3.3MMDEFAULT,WE-SMSA_78614020360,MP1,Round Spacer Threaded M3 Steel 0.098in (2.50mm),https://www.we-online.com/components/products/datasheet/78614025360.pdf,Würth Elektronik,78614025360
